payment_type,date,year,total_fare,total_tips,total_tolls,total_extras,trip_total,total_trp_miles,total_trip_minutes
Cash,2020-01-01,2020,146631.59999999998,11.12,2.8,12705.02,159350.53999999998,33032.110000000095,137012.31666666668
Cash,2020-01-02,2020,203144.78999999998,16.46,27,11387.649999999998,214575.9,39252.430000000044,185781.24999999997
Cash,2020-01-03,2020,208473.75999999995,25.25,9.2,11639.51,220148.21999999994,43007.630000000077,208551.11666666652
Cash,2020-01-04,2020,180267.24999999997,10.66,55.709999999999994,13100.39,193434.00999999995,34995.169999999911,148700.56666666659
Cash,2020-01-05,2020,138072.35,15.96,16.55,12241.310000000001,150346.67,37105.38999999997,134128.1833333332
Cash,2020-01-06,2020,193779.63,24.090000000000003,15.71,10095.17,203915.4,45251.26999999999,204352.31666666712
Cash,2020-01-07,2020,265116.96,34.2,49.9,9158.79,274360.35000000003,43903.639999999927,215302.05000000022
Cash,2020-01-08,2020,235057.01999999996,5,56.9,15527.22,250647.64,44520.799999999923,220295.76666666698
Cash,2020-01-09,2020,254489.89,18.05,7.5,10132.98,264648.92000000004,46202.429999999906,235966.48333333386
Cash,2020-01-10,2020,239313.53999999998,8,30.3,11591.220000000001,250943.55999999997,48016.929999999935,243854.75000000061
Cash,2020-01-11,2020,137297.42,6.3000000000000007,11.1,10715.07,148029.88999999998,28989.55,141556.13333333339
Cash,2020-01-12,2020,160397.27000000002,14.48,7.6999999999999993,13568.580000000002,173988.02999999997,37675.620000000039,131278.79999999964
Cash,2020-01-13,2020,265670.19999999995,0.07,1.52,12701.28,278373.07000000007,49935.699999999888,224302.84999999998
Cash,2020-01-14,2020,254581.29999999996,17.880000000000003,62.7,11753.74,266416.91999999993,45664.67,222681.98333333351
Cash,2020-01-15,2020,288508.07,8.35,7.3,10716.03,299239.75,49736.089999999851,250311.93333333347
Cash,2020-01-16,2020,316512.42999999993,0,13,12063.57,328589.49999999994,53553.389999999781,280267.21666666685
Cash,2020-01-17,2020,326777.79000000004,14.95,18.15,16540.59,343352.48,52274.829999999878,293271.59999999957
Cash,2020-01-18,2020,202880.75000000006,10.9,62.5,14385.150000000001,217339.3,36258.599999999948,165344.84999999989
Cash,2020-01-19,2020,171653.45999999996,0,10.350000000000001,12857.58,184521.88999999996,35128.720000000067,143503.29999999984
Cash,2020-01-20,2020,178920.87,1.69,15.4,12044.12,190982.08,38762.990000000013,168924.11666666635
Cash,2020-01-21,2020,208701.99999999994,4.75,13.9,15469.95,224191.09999999998,46592.099999999831,237408.84999999992
Cash,2020-01-22,2020,226175.87,7.9399999999999995,7.1,16312.330000000002,242504.74,46918.989999999991,241290.016666666
Cash,2020-01-23,2020,284537.9,20.62,5.4,11079.65,295644.56999999995,50075.34000000004,258902.53333333344
Cash,2020-01-24,2020,345767.68999999994,15.719999999999999,6.4,15850.330000000002,361642.1399999999,48724.2699999999,261708.28333333292
Cash,2020-01-25,2020,159875.15,9.95,1.9,16513.510000000002,176400.51,30793.110000000041,150695.06666666674
Cash,2020-01-26,2020,188915.98999999996,14.2,8.45,10458.65,199397.28999999995,34442.260000000126,132209.90000000002
Cash,2020-01-27,2020,298704.55,7.2,21.45,10574.5,309308.20000000007,45374.71,206351.516666667
Cash,2020-01-28,2020,251743.77,57.97,28.4,9015.21,260845.34999999998,43398.929999999862,223046.23333333357
Cash,2020-01-29,2020,278924.08999999991,53.81,64.35,13653.44,292696.98999999987,43919.309999999954,219256.74999999994
Cash,2020-01-30,2020,320628.26,56.870000000000005,6.57,10927.1,331619.30000000005,48767.62999999983,230079.98333333342
Cash,2020-01-31,2020,306115.39,40.05,22.499999999999996,11258.910000000003,317437.35,47535.0199999996,238925.133333334
Cash,2020-02-01,2020,167537.43,15.6,3.9,10246.15,177804.08,30858.83000000002,144233.36666666667
Cash,2020-02-02,2020,141569.53,10.15,7.95,12804.07,154393.7,32318.300000000025,126254.28333333328
Cash,2020-02-03,2020,258765.74000000002,66.050000000000011,78.8,10816.189999999999,269726.78,47562.840000000069,209097.08333333337
Cash,2020-02-04,2020,246700.25,22.770000000000003,14.9,19828.139999999996,266566.12,44876.46000000013,226213.31666666674
Cash,2020-02-05,2020,298179.35,38,18.5,12954.91,311195.21,47438.9700000001,248563.19999999998
Cash,2020-02-06,2020,245206.71000000002,48.2,98.4,10615.98,255972.24000000002,49819.640000000065,248299.71666666656
Cash,2020-02-07,2020,275300.61999999994,36.05,16.32,11458.720000000001,286811.70999999996,50527.430000000088,256593.36666666641
Cash,2020-02-08,2020,195751.87,7,1.5,11481.580000000002,207242.45,34959.120000000017,171125.01666666663
Cash,2020-02-09,2020,148622.46999999997,19.1,12.9,12104.88,160759.84999999998,36103.360000000015,145013.0500000001
Cash,2020-02-10,2020,213880.38,7,10.5,16739.54,230644.02,49192.740000000093,221467.26666666649
Cash,2020-02-11,2020,234871.47,11,2.95,8501.369999999999,243387.29,44794.820000000029,223585.53333333341
Cash,2020-02-12,2020,290765.61,15.399999999999999,101.9,16325.36,307210.07,48126.8600000001,248981.18333333332
Cash,2020-02-13,2020,366337.44000000006,22.3,13,13820.27,380195.01,57602.220000000008,287684.1333333333
Cash,2020-02-14,2020,324473.04,2,88.4,19621.49,344186.43,60958.7000000001,342330.93333333306
Cash,2020-02-15,2020,238884.79,10.4,55.949999999999996,18545.1,257497.24,42021.270000000055,219025.19999999984
Cash,2020-02-16,2020,278499.72,4,9.3,15801.019999999999,294314.54,42265.700000000077,202449.86666666667
Cash,2020-02-17,2020,247333.05000000002,29.05,3.6,12532.400000000001,259898.09999999998,42724.590000000084,197605.63333333316
Cash,2020-02-18,2020,295248.61,19.25,67.8,11012.300000000001,306348.46,49943.470000000045,236533.3666666667
Cash,2020-02-19,2020,297030.88,7.02,17.099999999999998,16245.869999999999,313301.37,56488.47,278258.50000000012
Cash,2020-02-20,2020,310192.44,12,3.8,24863.6,335072.33999999997,58780.460000000196,291666.46666666667
Cash,2020-02-21,2020,288552.48,31.5,3.4,25680.96,314268.34,56798.220000000161,295760.74999999983
Cash,2020-02-22,2020,242090.55,6.45,12.620000000000001,14419.859999999999,256529.48000000004,39730.000000000058,187416.83333333343
Cash,2020-02-23,2020,230021.83000000002,14.82,54.9,12189.61,242281.15999999997,41479.180000000015,154251.53333333338
Cash,2020-02-24,2020,327100.16999999993,9,20.5,10672.779999999999,337803.25,48754.780000000079,223398.06666666665
Cash,2020-02-25,2020,289713.58999999997,10,92.41,16995.340000000004,306812.83999999997,46991.940000000126,229941.4166666666
Cash,2020-02-26,2020,274823.36,4,17.9,16785.600000000002,287634.91,49410.700000000055,233840.81666666662
Cash,2020-02-27,2020,411486.07,4,17.6,12264.63,423772.8,56484.5600000001,271086.18333333341
Cash,2020-02-28,2020,296712.13999999996,12.85,22.07,19831.21,316578.26999999996,56297.950000000143,288022.73333333328
Cash,2020-02-29,2020,215274.83999999997,11.61,5.8,15055.329999999998,230348.07999999996,40702.450000000004,195167.83333333317
Cash,2020-03-01,2020,217664.41000000003,3.11,5.9,12328.830000000004,230003.25000000003,43007.089999999764,167627.99999999991
Cash,2020-03-02,2020,293402.19000000012,5.88,61.650000000000006,13199.030000000002,306670.75000000012,47958.239999999547,224292.58333333227
Cash,2020-03-03,2020,313065.31000000017,12.45,10.3,9683.26,322771.32000000018,47536.539999999652,239102.500000001
Cash,2020-03-04,2020,332770.39,7.05,28.5,22744.06,355550.00000000017,50041.919999999634,241152.16666666741
Cash,2020-03-05,2020,318204.46,1,102.01,20383.239999999994,338691.70999999996,52712.029999999475,257597.49999999997
Cash,2020-03-06,2020,295511.11000000016,4.07,18.4,14995.36,310529.44000000024,51763.069999999425,256018.83333333372
Cash,2020-03-07,2020,253513.64999999997,1.5,3.5,16340.09,269858.74000000005,34743.149999999805,164772.38333333307
Cash,2020-03-08,2020,173888.52000000005,7.5,55.8,17342.909999999996,191294.72999999995,34416.749999999869,145693.31666666694
Cash,2020-03-09,2020,275692.10000000003,0.37,3.6,16668.989999999998,292366.06000000006,44553.419999999816,223888.24999999997
Cash,2020-03-10,2020,271170.6100000001,5.9399999999999995,26.8,7951.5700000000015,279154.92000000004,41952.229999999421,213161.78333333365
Cash,2020-03-11,2020,290706.68000000005,2,5.6999999999999993,9671.9,300386.28000000009,42290.499999999622,216627.61666666716
Cash,2020-03-12,2020,217646.94,5,6.02,7392.4800000000005,225050.94,38886.919999999627,192811.09999999957
Cash,2020-03-13,2020,186393.25999999981,17.64,6,12757.450000000003,199174.84999999983,35333.0899999998,171595.33333333451
Cash,2020-03-14,2020,128775.45999999998,7.71,4.8,13269.830000000002,142057.8,24704.72000000003,119427.30000000019
Cash,2020-03-15,2020,129114.53000000001,17.89,1.5,6429.3600000000006,135563.28000000003,22242.799999999981,79931.783333333457
Cash,2020-03-16,2020,101308.75000000001,0,4.5,4785.79,106099.04,22237.570000000047,104869.48333333312
Cash,2020-03-17,2020,67048.830000000016,0,0,8154.1,75202.930000000008,15461.880000000025,70852.450000000143
Cash,2020-03-18,2020,51626.109999999986,0,0,5743.34,57369.94999999999,12115.400000000011,60034.266666666612
Cash,2020-03-19,2020,45063.220000000008,0,1.9,1801.03,46866.150000000016,10490.130000000001,48605.35
Cash,2020-03-20,2020,66509.14,0,0,2127.29,68636.430000000008,10288.230000000025,41678.283333333282
Cash,2020-03-21,2020,29258.199999999993,0,0,2022,31280.19999999999,7050.2500000000082,31725.983333333344
Cash,2020-03-22,2020,14910.23,0,0,1068,15978.23,3621.9899999999948,14277.516666666666
Cash,2020-03-23,2020,25131.379999999997,0,25,1039.9499999999998,26196.329999999994,6335.4800000000114,24829.916666666642
Cash,2020-03-24,2020,22531.499999999996,0,0,784,23315.499999999996,5641.1699999999983,25341.250000000018
Cash,2020-03-25,2020,20502.660000000003,0,0,505.09,21007.750000000004,5138.5399999999972,19718.966666666682
Cash,2020-03-26,2020,21552.83,0,0,601.51,22154.339999999997,5111.1900000000032,21574.533333333377
Cash,2020-03-27,2020,21607.639999999992,0,0,561,22168.639999999992,5446.4700000000039,21065.833333333321
Cash,2020-03-28,2020,13784.29,0,0,294.11,14078.400000000001,3248.8699999999985,13375.600000000006
Cash,2020-03-29,2020,11503.390000000003,0,0,345,11848.390000000003,2692.5599999999963,13940.899999999994
Cash,2020-03-30,2020,19349.68,0,0,461.5,19811.18,4921.2400000000034,18728.483333333323
Cash,2020-03-31,2020,19491.120000000006,0,0,506,19997.120000000006,4967.9000000000106,18657.1
Cash,2020-04-01,2020,23210.329999999994,0,0,502.5,23712.829999999994,5232.8600000000088,23491.333333333336
Cash,2020-04-02,2020,20055.109999999997,0,0,459,20514.109999999993,5074.2100000000028,19584.749999999993
Cash,2020-04-03,2020,21257.15,0,0,511.93,21769.08,5147.1900000000041,24347.23333333333
Cash,2020-04-04,2020,14835.88,0,0,530.04,15365.92,3569.2599999999939,15175.033333333326
Cash,2020-04-05,2020,11423.140000000003,0,0,454,11877.140000000003,2723.9800000000005,10817.800000000007
